"Category","Overheads"
"Salary Expense",24.28
"Interest Expense ",0.57
"Marketing Expense",6.84
"Rental Expense",14.17
"Overflow Expense - Retail",11.35
"Overflow Expense - Warehouse",0.03
"Penalty Expense",10.21
"Depreciation Expense",10.78
"Maintenance Expense",2.47
"Shipping Expense",0.12
"Human Resource Expense",19.18
