"Day","Sales","Trading Profit","Operating Expense","Net Profit"
40,35582796,11942022,4273713,7668309
41,36353073,12246420,4425728,7820692
42,36578173,12359037,4546805,7812232
43,36805970,12454103,4804610,7649493
44,37206640,12606566,5014561,7592005
45,37447814,12718918,5150598,7568320
